County,Population 2015,State
Allen County,20640,Kentucky
Anderson County,21979,Kentucky
Ballard County,8212,Kentucky
Barren County,43570,Kentucky
Bath County,12228,Kentucky
Bell County,27337,Kentucky
Boone County,127712,Kentucky
Bourbon County,20116,Kentucky
Boyd County,48325,Kentucky
Boyle County,29809,Kentucky
Bracken County,8321,Kentucky
Breathitt County,13484,Kentucky
Breckinridge County,20018,Kentucky
Bullitt County,78702,Kentucky
Butler County,12938,Kentucky
Caldwell County,12681,Kentucky
Calloway County,38343,Kentucky
Campbell County,92066,Kentucky
Carlisle County,4874,Kentucky
Carroll County,10699,Kentucky
Carter County,27158,Kentucky
Casey County,15808,Kentucky
Christian County,73309,Kentucky
Clark County,35757,Kentucky
Clay County,21013,Kentucky
Clinton County,10174,Kentucky
Crittenden County,9183,Kentucky
Cumberland County,6759,Kentucky
Daviess County,99259,Kentucky
Edmonson County,12007,Kentucky
Elliott County,7648,Kentucky
Estill County,14375,Kentucky
Fayette County,314488,Kentucky
Fleming County,14637,Kentucky
Floyd County,37756,Kentucky
Franklin County,50375,Kentucky
Fulton County,6238,Kentucky
Gallatin County,8636,Kentucky
Garrard County,17237,Kentucky
Grant County,24757,Kentucky
Graves County,37421,Kentucky
Grayson County,26221,Kentucky
Green County,11010,Kentucky
Greenup County,36068,Kentucky
Hancock County,8692,Kentucky
Hardin County,106439,Kentucky
Harlan County,27703,Kentucky
Harrison County,18763,Kentucky
Hart County,18454,Kentucky
Henderson County,46407,Kentucky
Henry County,15620,Kentucky
Hickman County,4612,Kentucky
Hopkins County,46222,Kentucky
Jackson County,13352,Kentucky
Jefferson County,763623,Kentucky
Jessamine County,51961,Kentucky
Johnson County,23175,Kentucky
Kenton County,165012,Kentucky
Knott County,15693,Kentucky
Knox County,31730,Kentucky
Larue County,14241,Kentucky
Laurel County,60094,Kentucky
Lawrence County,15745,Kentucky
Lee County,6752,Kentucky
Leslie County,10711,Kentucky
Letcher County,23123,Kentucky
Lewis County,13682,Kentucky
Lincoln County,24463,Kentucky
Livingston County,9316,Kentucky
Logan County,26910,Kentucky
Lyon County,8306,Kentucky
McCracken County,65018,Kentucky
McCreary County,17878,Kentucky
McLean County,9512,Kentucky
Madison County,87824,Kentucky
Magoffin County,12808,Kentucky
Marion County,19365,Kentucky
Marshall County,31101,Kentucky
Martin County,12307,Kentucky
Mason County,17099,Kentucky
Meade County,27924,Kentucky
Menifee County,6358,Kentucky
Mercer County,21407,Kentucky
Metcalfe County,9909,Kentucky
Monroe County,10667,Kentucky
Montgomery County,27608,Kentucky
Morgan County,13275,Kentucky
Muhlenberg County,31183,Kentucky
Nelson County,45126,Kentucky
Nicholas County,7131,Kentucky
Ohio County,24216,Kentucky
Oldham County,64875,Kentucky
Owen County,10730,Kentucky
Owsley County,4461,Kentucky
Pendleton County,14408,Kentucky
Perry County,27565,Kentucky
Pike County,61792,Kentucky
Powell County,12269,Kentucky
Pulaski County,63782,Kentucky
Robertson County,2138,Kentucky
Rockcastle County,16942,Kentucky
Rowan County,23892,Kentucky
Russell County,17662,Kentucky
Scott County,52420,Kentucky
Shelby County,45632,Kentucky
Simpson County,18006,Kentucky
Spencer County,17894,Kentucky
Taylor County,25420,Kentucky
Todd County,12531,Kentucky
Trigg County,14233,Kentucky
Trimble County,8769,Kentucky
Union County,15050,Kentucky
Warren County,122851,Kentucky
Washington County,12063,Kentucky
Wayne County,20464,Kentucky
Webster County,13170,Kentucky
Whitley County,36129,Kentucky
Wolfe County,7259,Kentucky
Woodford County,25793,Kentucky
Acadia Parish,62577,Louisiana
Allen Parish,25683,Louisiana
Ascension Parish,119455,Louisiana
Assumption Parish,22842,Louisiana
Avoyelles Parish,41103,Louisiana
Beauregard Parish,36462,Louisiana
Bienville Parish,13786,Louisiana
Bossier Parish,125175,Louisiana
Caddo Parish,251460,Louisiana
Calcasieu Parish,198788,Louisiana
Caldwell Parish,9993,Louisiana
Cameron Parish,6817,Louisiana
Catahoula Parish,10147,Louisiana
Claiborne Parish,16295,Louisiana
Concordia Parish,20142,Louisiana
De Soto Parish,27052,Louisiana
East Baton Rouge Parish,446753,Louisiana
East Carroll Parish,7307,Louisiana
East Feliciana Parish,19696,Louisiana
Evangeline Parish,33743,Louisiana
Franklin Parish,20410,Louisiana
Grant Parish,22343,Louisiana
Iberia Parish,74103,Louisiana
Iberville Parish,33095,Louisiana
Jackson Parish,15858,Louisiana
Jefferson Parish,436275,Louisiana
Jefferson Davis Parish,31439,Louisiana
Lafayette Parish,240098,Louisiana
Lafourche Parish,98325,Louisiana
LaSalle Parish,14974,Louisiana
Lincoln Parish,47774,Louisiana
Livingston Parish,137788,Louisiana
Madison Parish,11514,Louisiana
Morehouse Parish,26395,Louisiana
Natchitoches Parish,39179,Louisiana
Orleans Parish,389617,Louisiana
Ouachita Parish,156761,Louisiana
Plaquemines Parish,23495,Louisiana
Pointe Coupee Parish,22251,Louisiana
Rapides Parish,132141,Louisiana
Red River Parish,8593,Louisiana
Richland Parish,20523,Louisiana
Sabine Parish,24186,Louisiana
St. Bernard Parish,45408,Louisiana
St. Charles Parish,52812,Louisiana
St. Helena Parish,10567,Louisiana
St. James Parish,21567,Louisiana
St. John the Baptist Parish,43626,Louisiana
St. Landry Parish,83848,Louisiana
St. Martin Parish,53835,Louisiana
St. Mary Parish,52810,Louisiana
St. Tammany Parish,250088,Louisiana
Tangipahoa Parish,128755,Louisiana
Tensas Parish,4740,Louisiana
Terrebonne Parish,113972,Louisiana
Union Parish,22477,Louisiana
Vermilion Parish,59875,Louisiana
Vernon Parish,50803,Louisiana
Washington Parish,46371,Louisiana
Webster Parish,40021,Louisiana
West Baton Rouge Parish,25490,Louisiana
West Carroll Parish,11293,Louisiana
West Feliciana Parish,15385,Louisiana
Winn Parish,14568,Louisiana
Androscoggin County,107233,Maine
Aroostook County,68628,Maine
Cumberland County,289977,Maine
Franklin County,29991,Maine
Hancock County,54659,Maine
Kennebec County,119980,Maine
Knox County,39855,Maine
Lincoln County,33969,Maine
Oxford County,57202,Maine
Penobscot County,152692,Maine
Piscataquis County,16931,Maine
Sagadahoc County,35149,Maine
Somerset County,51113,Maine
Waldo County,39155,Maine
Washington County,31625,Maine
York County,201169,Maine
Allegany County,72528,Maryland
Anne Arundel County,564195,Maryland
Baltimore County,831128,Maryland
Calvert County,90595,Maryland
Caroline County,32579,Maryland
Carroll County,167627,Maryland
Cecil County,102382,Maryland
Charles County,156118,Maryland
Dorchester County,32384,Maryland
Frederick County,245322,Maryland
Garrett County,29460,Maryland
Harford County,250290,Maryland
Howard County,313414,Maryland
Kent County,19787,Maryland
Montgomery County,1040116,Maryland
Prince George's County,909535,Maryland
Queen Anne's County,48904,Maryland
St. Mary's County,111413,Maryland
Somerset County,25768,Maryland
Talbot County,37512,Maryland
Washington County,149585,Maryland
Wicomico County,102370,Maryland
Worcester County,51540,Maryland
Baltimore city,621849,Maryland
Barnstable County,214333,Massachusetts
Berkshire County,127828,Massachusetts
Bristol County,556772,Massachusetts
Dukes County,17299,Massachusetts
Essex County,776043,Massachusetts
Franklin County,70601,Massachusetts
Hampden County,470690,Massachusetts
Hampshire County,161292,Massachusetts
Middlesex County,1585139,Massachusetts
Nantucket County,10925,Massachusetts
Norfolk County,696023,Massachusetts
Plymouth County,510393,Massachusetts
Suffolk County,778121,Massachusetts
Worcester County,818963,Massachusetts
Alcona County,10349,Michigan
Alger County,9383,Michigan
Allegan County,114625,Michigan
Alpena County,28803,Michigan
Antrim County,23154,Michigan
Arenac County,15261,Michigan
Baraga County,8575,Michigan
Barry County,59314,Michigan
Bay County,105659,Michigan
Benzie County,17457,Michigan
Berrien County,154636,Michigan
Branch County,43664,Michigan
Calhoun County,134314,Michigan
Cass County,51657,Michigan
Charlevoix County,26238,Michigan
Cheboygan County,25427,Michigan
Chippewa County,38033,Michigan
Clare County,30553,Michigan
Clinton County,77390,Michigan
Crawford County,13801,Michigan
Delta County,36377,Michigan
Dickinson County,25788,Michigan
Eaton County,108801,Michigan
Emmet County,33161,Michigan
Genesee County,410849,Michigan
Gladwin County,25164,Michigan
Gogebic County,15431,Michigan
Grand Traverse County,91636,Michigan
Gratiot County,41540,Michigan
Hillsdale County,45941,Michigan
Houghton County,36380,Michigan
Huron County,31883,Michigan
Ingham County,286085,Michigan
Ionia County,64223,Michigan
Iosco County,25345,Michigan
Iron County,11348,Michigan
Isabella County,70698,Michigan
Jackson County,159494,Michigan
Kalamazoo County,260263,Michigan
Kalkaska County,17260,Michigan
Kent County,636369,Michigan
Keweenaw County,2168,Michigan
Lake County,11424,Michigan
Lapeer County,88373,Michigan
Leelanau County,21981,Michigan
Lenawee County,98573,Michigan
Livingston County,187316,Michigan
Luce County,6415,Michigan
Mackinac County,10890,Michigan
Macomb County,864840,Michigan
Manistee County,24461,Michigan
Marquette County,67215,Michigan
Mason County,28783,Michigan
Mecosta County,43067,Michigan
Menominee County,23548,Michigan
Midland County,83632,Michigan
Missaukee County,14903,Michigan
Monroe County,149568,Michigan
Montcalm County,62945,Michigan
Montmorency County,9259,Michigan
Muskegon County,172790,Michigan
Newaygo County,47948,Michigan
Oakland County,1242304,Michigan
Oceana County,26105,Michigan
Ogemaw County,20937,Michigan
Ontonagon County,6007,Michigan
Osceola County,23058,Michigan
Oscoda County,8251,Michigan
Otsego County,24253,Michigan
Ottawa County,279955,Michigan
Presque Isle County,12841,Michigan
Roscommon County,23898,Michigan
Saginaw County,193307,Michigan
St. Clair County,159875,Michigan
St. Joseph County,61018,Michigan
Sanilac County,41475,Michigan
Schoolcraft County,8173,Michigan
Shiawassee County,68619,Michigan
Tuscola County,53777,Michigan
Van Buren County,75077,Michigan
Washtenaw County,358880,Michigan
Wayne County,1759335,Michigan
Wexford County,33003,Michigan
Aitkin County,15702,Minnesota
Anoka County,344151,Minnesota
Becker County,33386,Minnesota
Beltrami County,45672,Minnesota
Benton County,39710,Minnesota
Big Stone County,5040,Minnesota
Blue Earth County,65787,Minnesota
Brown County,25313,Minnesota
Carlton County,35569,Minnesota
Carver County,98741,Minnesota
Cass County,28706,Minnesota
Chippewa County,12109,Minnesota
Chisago County,54293,Minnesota
Clay County,62324,Minnesota
Clearwater County,8803,Minnesota
Cook County,5194,Minnesota
Cottonwood County,11549,Minnesota
Crow Wing County,63428,Minnesota
Dakota County,414686,Minnesota
Dodge County,20364,Minnesota
Douglas County,37075,Minnesota
Faribault County,14050,Minnesota
Fillmore County,20834,Minnesota
Freeborn County,30613,Minnesota
Goodhue County,46435,Minnesota
Grant County,5903,Minnesota
Hennepin County,1223149,Minnesota
Houston County,18773,Minnesota
Hubbard County,20655,Minnesota
Isanti County,38429,Minnesota
Itasca County,45435,Minnesota
Jackson County,10079,Minnesota
Kanabec County,15837,Minnesota
Kandiyohi County,42542,Minnesota
Kittson County,4424,Minnesota
Koochiching County,12841,Minnesota
Lac qui Parle County,6856,Minnesota
Lake County,10631,Minnesota
Lake of the Woods County,3923,Minnesota
Le Sueur County,27663,Minnesota
Lincoln County,5771,Minnesota
Lyon County,25673,Minnesota
McLeod County,35932,Minnesota
Mahnomen County,5457,Minnesota
Marshall County,9423,Minnesota
Martin County,20022,Minnesota
Meeker County,23102,Minnesota
Mille Lacs County,25788,Minnesota
Morrison County,32775,Minnesota
Mower County,39116,Minnesota
Murray County,8413,Minnesota
Nicollet County,33347,Minnesota
Nobles County,21770,Minnesota
Norman County,6678,Minnesota
Olmsted County,151436,Minnesota
Otter Tail County,57716,Minnesota
Pennington County,14219,Minnesota
Pine County,29069,Minnesota
Pipestone County,9271,Minnesota
Polk County,31533,Minnesota
Pope County,11041,Minnesota
Ramsey County,538133,Minnesota
Red Lake County,4055,Minnesota
Redwood County,15471,Minnesota
Renville County,14892,Minnesota
Rice County,65400,Minnesota
Rock County,9600,Minnesota
Roseau County,15770,Minnesota
St. Louis County,200431,Minnesota
Scott County,141660,Minnesota
Sherburne County,91705,Minnesota
Sibley County,14875,Minnesota
Stearns County,154708,Minnesota
Steele County,36755,Minnesota
Stevens County,9796,Minnesota
Swift County,9340,Minnesota
Todd County,24257,Minnesota
Traverse County,3401,Minnesota
Wabasha County,21239,Minnesota
Wadena County,13875,Minnesota
Waseca County,18989,Minnesota
Washington County,251597,Minnesota
Watonwan County,10952,Minnesota
Wilkin County,6396,Minnesota
Winona County,50885,Minnesota
Wright County,131311,Minnesota
Yellow Medicine County,9875,Minnesota
Adams County,31254,Mississippi
Alcorn County,37388,Mississippi
Amite County,12574,Mississippi
Attala County,19043,Mississippi
Benton County,8182,Mississippi
Bolivar County,33322,Mississippi
Calhoun County,14717,Mississippi
Carroll County,10243,Mississippi
Chickasaw County,17328,Mississippi
Choctaw County,8299,Mississippi
Claiborne County,9150,Mississippi
Clarke County,16006,Mississippi
Clay County,20048,Mississippi
Coahoma County,24620,Mississippi
Copiah County,28773,Mississippi
Covington County,19543,Mississippi
DeSoto County,173323,Mississippi
Forrest County,75944,Mississippi
Franklin County,7743,Mississippi
George County,23373,Mississippi
Greene County,13522,Mississippi
Grenada County,21578,Mississippi
Hancock County,46420,Mississippi
Harrison County,201410,Mississippi
Hinds County,242891,Mississippi
Holmes County,18340,Mississippi
Humphreys County,8669,Mississippi
Issaquena County,1337,Mississippi
Itawamba County,23609,Mississippi
Jackson County,141425,Mississippi
Jasper County,16569,Mississippi
Jefferson County,7507,Mississippi
Jefferson Davis County,11665,Mississippi
Jones County,68215,Mississippi
Kemper County,9969,Mississippi
Lafayette County,53154,Mississippi
Lamar County,60618,Mississippi
Lauderdale County,78524,Mississippi
Lawrence County,12622,Mississippi
Leake County,22763,Mississippi
Lee County,85300,Mississippi
Leflore County,30999,Mississippi
Lincoln County,34649,Mississippi
Lowndes County,59710,Mississippi
Madison County,103465,Mississippi
Marion County,25563,Mississippi
Marshall County,35916,Mississippi
Monroe County,35827,Mississippi
Montgomery County,10152,Mississippi
Neshoba County,29463,Mississippi
Newton County,21747,Mississippi
Noxubee County,11043,Mississippi
Oktibbeha County,49800,Mississippi
Panola County,34167,Mississippi
Pearl River County,55191,Mississippi
Perry County,12277,Mississippi
Pike County,39956,Mississippi
Pontotoc County,30908,Mississippi
Prentiss County,25459,Mississippi
Quitman County,7486,Mississippi
Rankin County,149039,Mississippi
Scott County,28265,Mississippi
Sharkey County,4585,Mississippi
Simpson County,27222,Mississippi
Smith County,16059,Mississippi
Stone County,18070,Mississippi
Sunflower County,27005,Mississippi
Tallahatchie County,14588,Mississippi
Tate County,28296,Mississippi
Tippah County,22131,Mississippi
Tishomingo County,19552,Mississippi
Tunica County,10343,Mississippi
Union County,28429,Mississippi
Walthall County,14638,Mississippi
Warren County,47485,Mississippi
Washington County,48130,Mississippi
Wayne County,20566,Mississippi
Webster County,9899,Mississippi
Wilkinson County,9122,Mississippi
Winston County,18317,Mississippi
Yalobusha County,12447,Mississippi
Yazoo County,27387,Mississippi
Adair County,25378,Missouri
Andrew County,17296,Missouri
Atchison County,5306,Missouri
Audrain County,26096,Missouri
Barry County,35829,Missouri
Barton County,11880,Missouri
Bates County,16446,Missouri
Benton County,18670,Missouri
Bollinger County,12182,Missouri
Boone County,174974,Missouri
Buchanan County,89100,Missouri
Butler County,42951,Missouri
Caldwell County,9014,Missouri
Callaway County,44834,Missouri
Camden County,44237,Missouri
Cape Girardeau County,78572,Missouri
Carroll County,8992,Missouri
Carter County,6263,Missouri
Cass County,101603,Missouri
Cedar County,13934,Missouri
Chariton County,7589,Missouri
Christian County,83279,Missouri
Clark County,6801,Missouri
Clay County,235637,Missouri
Clinton County,20609,Missouri
Cole County,76720,Missouri
Cooper County,17642,Missouri
Crawford County,24526,Missouri
Dade County,7595,Missouri
Dallas County,16393,Missouri
Daviess County,8253,Missouri
DeKalb County,12687,Missouri
Dent County,15593,Missouri
Douglas County,13373,Missouri
Dunklin County,30895,Missouri
Franklin County,102426,Missouri
Gasconade County,14858,Missouri
Gentry County,6692,Missouri
Greene County,288072,Missouri
Grundy County,10097,Missouri
Harrison County,8615,Missouri
Henry County,21737,Missouri
Hickory County,9201,Missouri
Holt County,4484,Missouri
Howard County,10139,Missouri
Howell County,40117,Missouri
Iron County,10125,Missouri
Jackson County,687623,Missouri
Jasper County,118596,Missouri
Jefferson County,224124,Missouri
Johnson County,53951,Missouri
Knox County,3910,Missouri
Laclede County,35473,Missouri
Lafayette County,32701,Missouri
Lawrence County,38180,Missouri
Lewis County,10207,Missouri
Lincoln County,54696,Missouri
Linn County,12308,Missouri
Livingston County,15028,Missouri
McDonald County,22643,Missouri
Macon County,15335,Missouri
Madison County,12408,Missouri
Maries County,8963,Missouri
Marion County,28880,Missouri
Mercer County,3694,Missouri
Miller County,25113,Missouri
Mississippi County,14036,Missouri
Moniteau County,15963,Missouri
Monroe County,8583,Missouri
Montgomery County,11703,Missouri
Morgan County,20171,Missouri
New Madrid County,18208,Missouri
Newton County,58615,Missouri
Nodaway County,22810,Missouri
Oregon County,10953,Missouri
Osage County,13628,Missouri
Ozark County,9409,Missouri
Pemiscot County,17482,Missouri
Perry County,19183,Missouri
Pettis County,42255,Missouri
Phelps County,44794,Missouri
Pike County,18348,Missouri
Platte County,96096,Missouri
Polk County,31229,Missouri
Pulaski County,53221,Missouri
Putnam County,4858,Missouri
Ralls County,10196,Missouri
Randolph County,25104,Missouri
Ray County,22810,Missouri
Reynolds County,6432,Missouri
Ripley County,13802,Missouri
St. Charles County,385590,Missouri
St. Clair County,9440,Missouri
Ste. Genevieve County,17919,Missouri
St. Francois County,66520,Missouri
St. Louis County,1003362,Missouri
Saline County,23258,Missouri
Schuyler County,4436,Missouri
Scotland County,4854,Missouri
Scott County,39008,Missouri
Shannon County,8258,Missouri
Shelby County,6128,Missouri
Stoddard County,29862,Missouri
Stone County,30943,Missouri
Sullivan County,6353,Missouri
Taney County,54592,Missouri
Texas County,25690,Missouri
Vernon County,20826,Missouri
Warren County,33513,Missouri
Washington County,24788,Missouri
Wayne County,13405,Missouri
Webster County,37483,Missouri
Worth County,2057,Missouri
Wright County,18268,Missouri
St. Louis city,315685,Missouri
Beaverhead County,9300,Montana
Big Horn County,13242,Montana
Blaine County,6577,Montana
Broadwater County,5689,Montana
Carbon County,10408,Montana
Carter County,1180,Montana
Cascade County,82278,Montana
Chouteau County,5767,Montana
Custer County,12135,Montana
Daniels County,1760,Montana
Dawson County,9625,Montana
Deer Lodge County,9139,Montana
Fallon County,3190,Montana
Fergus County,11427,Montana
Flathead County,96165,Montana
Gallatin County,100739,Montana
Garfield County,1314,Montana
Glacier County,13647,Montana
Golden Valley County,827,Montana
Granite County,3240,Montana
Hill County,16572,Montana
Jefferson County,11645,Montana
Judith Basin County,1926,Montana
Lake County,29457,Montana
Lewis and Clark County,66418,Montana
Liberty County,2408,Montana
Lincoln County,19052,Montana
McCone County,1683,Montana
Madison County,7915,Montana
Meagher County,1830,Montana
Mineral County,4251,Montana
Missoula County,114181,Montana
Musselshell County,4582,Montana
Park County,15972,Montana
Petroleum County,475,Montana
Phillips County,4169,Montana
Pondera County,6184,Montana
Powder River County,1773,Montana
Powell County,6840,Montana
Prairie County,1160,Montana
Ravalli County,41373,Montana
Richland County,11960,Montana
Roosevelt County,11476,Montana
Rosebud County,9398,Montana
Sanders County,11336,Montana
Sheridan County,3687,Montana
Silver Bow County,34622,Montana
Stillwater County,9486,Montana
Sweet Grass County,3634,Montana
Teton County,6104,Montana
Toole County,5087,Montana
Treasure County,697,Montana
Valley County,7659,Montana
Wheatland County,2110,Montana
Wibaux County,1130,Montana
Yellowstone County,157048,Montana
Adams County,31587,Nebraska
Antelope County,6414,Nebraska
Arthur County,456,Nebraska
Banner County,788,Nebraska
Blaine County,487,Nebraska
Boone County,5315,Nebraska
Box Butte County,11337,Nebraska
Boyd County,2006,Nebraska
Brown County,2946,Nebraska
Buffalo County,48863,Nebraska
Burt County,6585,Nebraska
Butler County,8115,Nebraska
Cass County,25512,Nebraska
Cedar County,8564,Nebraska
Chase County,3956,Nebraska
Cherry County,5848,Nebraska
Cheyenne County,10167,Nebraska
Clay County,6309,Nebraska
Colfax County,10520,Nebraska
Cuming County,9125,Nebraska
Custer County,10806,Nebraska
Dakota County,20781,Nebraska
Dawes County,9055,Nebraska
Dawson County,23886,Nebraska
Deuel County,1921,Nebraska
Dixon County,5797,Nebraska
Dodge County,36706,Nebraska
Douglas County,550064,Nebraska
Dundy County,1799,Nebraska
Fillmore County,5619,Nebraska
Franklin County,2985,Nebraska
Frontier County,2624,Nebraska
Furnas County,4862,Nebraska
Gage County,21900,Nebraska
Garden County,1918,Nebraska
Garfield County,2028,Nebraska
Gosper County,1973,Nebraska
Grant County,641,Nebraska
Greeley County,2429,Nebraska
Hall County,61680,Nebraska
Hamilton County,9190,Nebraska
Harlan County,3452,Nebraska
Hayes County,932,Nebraska
Hitchcock County,2883,Nebraska
Holt County,10313,Nebraska
Hooker County,732,Nebraska
Howard County,6409,Nebraska
Jefferson County,7263,Nebraska
Johnson County,5173,Nebraska
Kearney County,6585,Nebraska
Keith County,8063,Nebraska
Keya Paha County,804,Nebraska
Kimball County,3689,Nebraska
Knox County,8543,Nebraska
Lancaster County,306468,Nebraska
Lincoln County,35656,Nebraska
Logan County,777,Nebraska
Loup County,585,Nebraska
McPherson County,475,Nebraska
Madison County,35039,Nebraska
Merrick County,7787,Nebraska
Morrill County,4854,Nebraska
Nance County,3595,Nebraska
Nemaha County,7046,Nebraska
Nuckolls County,4329,Nebraska
Otoe County,15984,Nebraska
Pawnee County,2659,Nebraska
Perkins County,2944,Nebraska
Phelps County,9296,Nebraska
Pierce County,7208,Nebraska
Platte County,32847,Nebraska
Polk County,5202,Nebraska
Red Willow County,10829,Nebraska
Richardson County,8094,Nebraska
Rock County,1381,Nebraska
Saline County,14282,Nebraska
Sarpy County,175692,Nebraska
Saunders County,21016,Nebraska
Scotts Bluff County,36261,Nebraska
Seward County,17110,Nebraska
Sheridan County,5220,Nebraska
Sherman County,3091,Nebraska
Sioux County,1260,Nebraska
Stanton County,5937,Nebraska
Thayer County,5163,Nebraska
Thomas County,684,Nebraska
Thurston County,7064,Nebraska
Valley County,4154,Nebraska
Washington County,20248,Nebraska
Wayne County,9367,Nebraska
Webster County,3625,Nebraska
Wheeler County,750,Nebraska
York County,13806,Nebraska
Churchill County,24200,Nevada
Clark County,2114801,Nevada
Douglas County,47710,Nevada
Elko County,51935,Nevada
Esmeralda County,829,Nevada
Eureka County,2016,Nevada
Humboldt County,17019,Nevada
Lander County,5903,Nevada
Lincoln County,5036,Nevada
Lyon County,52585,Nevada
Mineral County,4478,Nevada
Nye County,42477,Nevada
Pershing County,6634,Nevada
Storey County,3987,Nevada
Washoe County,446903,Nevada
White Pine County,9811,Nevada
Carson City,54521,Nevada
Belknap County,60641,New Hampshire
Carroll County,47285,New Hampshire
Cheshire County,75909,New Hampshire
Coos County,31212,New Hampshire
Grafton County,89320,New Hampshire
Hillsborough County,406678,New Hampshire
Merrimack County,147994,New Hampshire
Rockingham County,301777,New Hampshire
Strafford County,126825,New Hampshire
Sullivan County,42967,New Hampshire
Atlantic County,274219,New Jersey
Bergen County,938506,New Jersey
Burlington County,450226,New Jersey
Camden County,510923,New Jersey
Cape May County,94727,New Jersey
Cumberland County,155854,New Jersey
Essex County,797434,New Jersey
Gloucester County,291479,New Jersey
Hudson County,674836,New Jersey
Hunterdon County,125488,New Jersey
Mercer County,371398,New Jersey
Middlesex County,840900,New Jersey
Monmouth County,628715,New Jersey
Morris County,499509,New Jersey
Ocean County,588721,New Jersey
Passaic County,510916,New Jersey
Salem County,64180,New Jersey
Somerset County,333654,New Jersey
Sussex County,143673,New Jersey
Union County,555786,New Jersey
Warren County,106869,New Jersey
Bernalillo County,676685,New Mexico
Catron County,3456,New Mexico
Chaves County,65764,New Mexico
Cibola County,27329,New Mexico
Colfax County,12414,New Mexico
Curry County,50398,New Mexico
De Baca County,1828,New Mexico
Do_a Ana County,214295,New Mexico
Eddy County,57578,New Mexico
Grant County,28609,New Mexico
Guadalupe County,4371,New Mexico
Harding County,698,New Mexico
Hidalgo County,4423,New Mexico
Lea County,71180,New Mexico
Lincoln County,19420,New Mexico
Los Alamos County,17785,New Mexico
Luna County,24518,New Mexico
McKinley County,76708,New Mexico
Mora County,4596,New Mexico
Otero County,64362,New Mexico
Quay County,8455,New Mexico
Rio Arriba County,39465,New Mexico
Roosevelt County,19120,New Mexico
Sandoval County,139394,New Mexico
San Juan County,118737,New Mexico
San Miguel County,27967,New Mexico
Santa Fe County,148686,New Mexico
Sierra County,11282,New Mexico
Socorro County,17256,New Mexico
Taos County,32907,New Mexico
Torrance County,15485,New Mexico
Union County,4201,New Mexico
Valencia County,75737,New Mexico
Albany County,309381,New York
Allegany County,47462,New York
Bronx County,1455444,New York
Broome County,196567,New York
Cattaraugus County,77922,New York
Cayuga County,78288,New York
Chautauqua County,130779,New York
Chemung County,87071,New York
Chenango County,48844,New York
Clinton County,81251,New York
Columbia County,61509,New York
Cortland County,48494,New York
Delaware County,46053,New York
Dutchess County,295754,New York
Erie County,922578,New York
Essex County,38478,New York
Franklin County,50660,New York
Fulton County,53992,New York
Genesee County,58937,New York
Greene County,47625,New York
Hamilton County,4712,New York
Herkimer County,63100,New York
Jefferson County,117635,New York
Kings County,2636735,New York
Lewis County,26957,New York
Livingston County,64717,New York
Madison County,71849,New York
Monroe County,749600,New York
Montgomery County,49642,New York
Nassau County,1361350,New York
New York County,1644518,New York
Niagara County,212652,New York
Oneida County,232500,New York
Onondaga County,468463,New York
Ontario County,109561,New York
Orange County,377647,New York
Orleans County,41582,New York
Oswego County,120146,New York
Otsego County,60636,New York
Putnam County,99042,New York
Queens County,2339150,New York
Rensselaer County,160266,New York
Richmond County,474558,New York
Rockland County,326037,New York
St. Lawrence County,111007,New York
Saratoga County,226249,New York
Schenectady County,154604,New York
Schoharie County,31330,New York
Schuyler County,18186,New York
Seneca County,34833,New York
Steuben County,97631,New York
Suffolk County,1501587,New York
Sullivan County,74877,New York
Tioga County,49453,New York
Tompkins County,104926,New York
Ulster County,180143,New York
Warren County,64688,New York
Washington County,62230,New York
Wayne County,91446,New York
Westchester County,976396,New York
Wyoming County,41013,New York
Yates County,25048,New York
Alamance County,158276,North Carolina
Alexander County,37325,North Carolina
Alleghany County,10837,North Carolina
Anson County,25759,North Carolina
Ashe County,27020,North Carolina
Avery County,17689,North Carolina
Beaufort County,47651,North Carolina
Bertie County,20199,North Carolina
Bladen County,34318,North Carolina
Brunswick County,122765,North Carolina
Buncombe County,253178,North Carolina
Burke County,88842,North Carolina
Cabarrus County,196762,North Carolina
Caldwell County,81287,North Carolina
Camden County,10309,North Carolina
Carteret County,68879,North Carolina
Caswell County,22941,North Carolina
Catawba County,155056,North Carolina
Chatham County,70928,North Carolina
Cherokee County,27178,North Carolina
Chowan County,14394,North Carolina
Clay County,10703,North Carolina
Cleveland County,96879,North Carolina
Columbus County,56694,North Carolina
Craven County,103451,North Carolina
Cumberland County,323838,North Carolina
Currituck County,25263,North Carolina
Dare County,35663,North Carolina
Davidson County,164622,North Carolina
Davie County,41753,North Carolina
Duplin County,59159,North Carolina
Durham County,300952,North Carolina
Edgecombe County,54150,North Carolina
Forsyth County,369019,North Carolina
Franklin County,63710,North Carolina
Gaston County,213442,North Carolina
Gates County,11431,North Carolina
Graham County,8616,North Carolina
Granville County,58674,North Carolina
Greene County,21134,North Carolina
Guilford County,517600,North Carolina
Halifax County,52456,North Carolina
Harnett County,128140,North Carolina
Haywood County,59868,North Carolina
Henderson County,112655,North Carolina
Hertford County,24184,North Carolina
Hoke County,52671,North Carolina
Hyde County,5526,North Carolina
Iredell County,169866,North Carolina
Jackson County,41265,North Carolina
Johnston County,185660,North Carolina
Jones County,10013,North Carolina
Lee County,59660,North Carolina
