County,Population 2015,State
Tehama County,63308,California
Trinity County,13069,California
Tulare County,459863,California
Tuolumne County,53709,California
Ventura County,850536,California
Yolo County,213016,California
Yuba County,74492,California
Adams County,491337,Colorado
Alamosa County,16496,Colorado
Arapahoe County,631096,Colorado
Archuleta County,12352,Colorado
Baca County,3615,Colorado
Bent County,5830,Colorado
Boulder County,319372,Colorado
Broomfield County,65065,Colorado
Chaffee County,18658,Colorado
Cheyenne County,1829,Colorado
Clear Creek County,9303,Colorado
Conejos County,8130,Colorado
Costilla County,3584,Colorado
Crowley County,5562,Colorado
Custer County,4445,Colorado
Delta County,29979,Colorado
Denver County,682545,Colorado
Dolores County,1978,Colorado
Douglas County,322387,Colorado
Eagle County,53605,Colorado
Elbert County,24735,Colorado
El Paso County,674471,Colorado
Fremont County,46692,Colorado
Garfield County,58095,Colorado
Gilpin County,5828,Colorado
Grand County,14615,Colorado
Gunnison County,16067,Colorado
Hinsdale County,774,Colorado
Huerfano County,6492,Colorado
Jackson County,1356,Colorado
Jefferson County,565524,Colorado
Kiowa County,1423,Colorado
Kit Carson County,7758,Colorado
Lake County,7485,Colorado
La Plata County,54688,Colorado
Larimer County,333577,Colorado
Las Animas County,14058,Colorado
Lincoln County,5557,Colorado
Logan County,22036,Colorado
Mesa County,148513,Colorado
Mineral County,726,Colorado
Moffat County,12937,Colorado
Montezuma County,26168,Colorado
Montrose County,40946,Colorado
Morgan County,28360,Colorado
Otero County,18343,Colorado
Ouray County,4691,Colorado
Park County,16510,Colorado
Phillips County,4349,Colorado
Pitkin County,17787,Colorado
Prowers County,11954,Colorado
Pueblo County,163591,Colorado
Rio Blanco County,6571,Colorado
Rio Grande County,11543,Colorado
Routt County,24130,Colorado
Saguache County,6251,Colorado
San Juan County,701,Colorado
San Miguel County,7879,Colorado
Sedgwick County,2399,Colorado
Summit County,30257,Colorado
Teller County,23385,Colorado
Washington County,4864,Colorado
Weld County,285174,Colorado
Yuma County,10146,Colorado
Fairfield County,948053,Connecticut
Hartford County,895841,Connecticut
Litchfield County,183603,Connecticut
Middlesex County,164063,Connecticut
New Haven County,859470,Connecticut
New London County,271863,Connecticut
Tolland County,151420,Connecticut
Windham County,116573,Connecticut
Kent County,173533,Delaware
New Castle County,556779,Delaware
Sussex County,215622,Delaware
District of Columbia,672228,District of Columbia
Alachua County,259964,Florida
Baker County,27420,Florida
Bay County,181635,Florida
Bradford County,26928,Florida
Brevard County,568088,Florida
Broward County,1896425,Florida
Calhoun County,14462,Florida
Charlotte County,173115,Florida
Citrus County,141058,Florida
Clay County,203967,Florida
Collier County,357305,Florida
Columbia County,68348,Florida
DeSoto County,35458,Florida
Dixie County,16203,Florida
Duval County,913010,Florida
Escambia County,311003,Florida
Flagler County,105392,Florida
Franklin County,11761,Florida
Gadsden County,46036,Florida
Gilchrist County,17199,Florida
Glades County,13670,Florida
Gulf County,15871,Florida
Hamilton County,14295,Florida
Hardee County,27502,Florida
Hendry County,39119,Florida
Hernando County,178439,Florida
Highlands County,99491,Florida
Hillsborough County,1349050,Florida
Holmes County,19324,Florida
Indian River County,147919,Florida
Jackson County,48599,Florida
Jefferson County,14081,Florida
Lafayette County,8663,Florida
Lake County,325875,Florida
Lee County,701982,Florida
Leon County,286272,Florida
Levy County,39832,Florida
Liberty County,8331,Florida
Madison County,18408,Florida
Manatee County,363369,Florida
Marion County,343254,Florida
Martin County,156283,Florida
Miami-Dade County,2693117,Florida
Monroe County,77482,Florida
Nassau County,78444,Florida
Okaloosa County,198664,Florida
Okeechobee County,39469,Florida
Orange County,1288126,Florida
Osceola County,323993,Florida
Palm Beach County,1422789,Florida
Pasco County,497909,Florida
Pinellas County,949827,Florida
Polk County,650092,Florida
Putnam County,72023,Florida
St. Johns County,226640,Florida
St. Lucie County,298563,Florida
Santa Rosa County,167040,Florida
Sarasota County,405549,Florida
Seminole County,449144,Florida
Sumter County,118891,Florida
Suwannee County,43760,Florida
Taylor County,22493,Florida
Union County,15234,Florida
Volusia County,517887,Florida
Wakulla County,31535,Florida
Walton County,63508,Florida
Washington County,24687,Florida
Appling County,18454,Georgia
Atkinson County,8398,Georgia
Bacon County,11299,Georgia
Baker County,3180,Georgia
Baldwin County,45459,Georgia
Banks County,18495,Georgia
Barrow County,75370,Georgia
Bartow County,102747,Georgia
Ben Hill County,17403,Georgia
Berrien County,18963,Georgia
Bibb County,153721,Georgia
Bleckley County,12243,Georgia
Brantley County,18455,Georgia
Brooks County,15658,Georgia
Bryan County,35137,Georgia
Bulloch County,72651,Georgia
Burke County,22745,Georgia
Butts County,23593,Georgia
Calhoun County,6479,Georgia
Camden County,52102,Georgia
Candler County,10886,Georgia
Carroll County,114545,Georgia
Catoosa County,66050,Georgia
Charlton County,12965,Georgia
Chatham County,286956,Georgia
Chattahoochee County,11368,Georgia
Chattooga County,24922,Georgia
Cherokee County,235900,Georgia
Clarke County,123912,Georgia
Clay County,3141,Georgia
Clayton County,273955,Georgia
Clinch County,6893,Georgia
Cobb County,741334,Georgia
Coffee County,43108,Georgia
Colquitt County,45844,Georgia
Columbia County,144052,Georgia
Cook County,17124,Georgia
Coweta County,138427,Georgia
Crawford County,12388,Georgia
Crisp County,22881,Georgia
Dade County,16264,Georgia
Dawson County,23312,Georgia
Decatur County,27174,Georgia
DeKalb County,734871,Georgia
Dodge County,20882,Georgia
Dooly County,14035,Georgia
Dougherty County,91332,Georgia
Douglas County,140733,Georgia
Early County,10575,Georgia
Echols County,4040,Georgia
Effingham County,57106,Georgia
Elbert County,19364,Georgia
Emanuel County,22708,Georgia
Evans County,10787,Georgia
Fannin County,24303,Georgia
Fayette County,110714,Georgia
Floyd County,96504,Georgia
Forsyth County,212438,Georgia
Franklin County,22311,Georgia
Fulton County,1010562,Georgia
Gilmer County,29400,Georgia
Glascock County,3065,Georgia
Glynn County,83579,Georgia
Gordon County,56574,Georgia
Grady County,25205,Georgia
Greene County,16710,Georgia
Gwinnett County,895823,Georgia
Habersham County,43996,Georgia
Hall County,193535,Georgia
Hancock County,8551,Georgia
Haralson County,28854,Georgia
Harris County,33381,Georgia
Hart County,25534,Georgia
Heard County,11539,Georgia
Henry County,217739,Georgia
Houston County,150033,Georgia
Irwin County,9245,Georgia
Jackson County,63360,Georgia
Jasper County,13635,Georgia
Jeff Davis County,14920,Georgia
Jefferson County,16106,Georgia
Jenkins County,8957,Georgia
Johnson County,9656,Georgia
Jones County,28494,Georgia
Lamar County,18201,Georgia
Lanier County,10312,Georgia
Laurens County,47731,Georgia
Lee County,29202,Georgia
Liberty County,62467,Georgia
Lincoln County,7673,Georgia
Long County,17731,Georgia
Lowndes County,112865,Georgia
Lumpkin County,31408,Georgia
McDuffie County,21540,Georgia
McIntosh County,13969,Georgia
Macon County,13632,Georgia
Madison County,28441,Georgia
Marion County,8761,Georgia
Meriwether County,21190,Georgia
Miller County,5854,Georgia
Mitchell County,22574,Georgia
Monroe County,27103,Georgia
Montgomery County,8951,Georgia
Morgan County,18046,Georgia
Murray County,39565,Georgia
Muscogee County,200579,Georgia
Newton County,105473,Georgia
Oconee County,35965,Georgia
Oglethorpe County,14871,Georgia
Paulding County,152238,Georgia
Peach County,26720,Georgia
Pickens County,30309,Georgia
Pierce County,19103,Georgia
Pike County,17941,Georgia
Polk County,41524,Georgia
Pulaski County,11396,Georgia
Putnam County,21353,Georgia
Quitman County,2302,Georgia
Rabun County,16281,Georgia
Randolph County,7193,Georgia
Richmond County,201793,Georgia
Rockdale County,88856,Georgia
Schley County,5168,Georgia
Screven County,14162,Georgia
Seminole County,8647,Georgia
Spalding County,64051,Georgia
Stephens County,25586,Georgia
Stewart County,5851,Georgia
Sumter County,30779,Georgia
Talbot County,6337,Georgia
Taliaferro County,1639,Georgia
Tattnall County,25229,Georgia
Taylor County,8330,Georgia
Telfair County,16400,Georgia
Terrell County,9113,Georgia
Thomas County,45063,Georgia
Tift County,40764,Georgia
Toombs County,27241,Georgia
Towns County,11182,Georgia
Treutlen County,6785,Georgia
Troup County,69763,Georgia
Turner County,8214,Georgia
Twiggs County,8390,Georgia
Union County,22267,Georgia
Upson County,26368,Georgia
Walker County,68066,Georgia
Walton County,88399,Georgia
Ware County,35370,Georgia
Warren County,5460,Georgia
Washington County,20816,Georgia
Wayne County,29534,Georgia
Webster County,2648,Georgia
Wheeler County,7903,Georgia
White County,28319,Georgia
Whitfield County,104216,Georgia
Wilcox County,8857,Georgia
Wilkes County,9867,Georgia
Wilkinson County,9155,Georgia
Worth County,20699,Georgia
Hawaii County,196428,Hawaii
Honolulu County,998714,Hawaii
Kalawao County,89,Hawaii
Kauai County,71735,Hawaii
Maui County,164637,Hawaii
Ada County,434211,Idaho
Adams County,3843,Idaho
Bannock County,83744,Idaho
Bear Lake County,5922,Idaho
Benewah County,9052,Idaho
Bingham County,44990,Idaho
Blaine County,21592,Idaho
Boise County,7058,Idaho
Bonner County,41859,Idaho
Bonneville County,110089,Idaho
Boundary County,11318,Idaho
Butte County,2501,Idaho
Camas County,1066,Idaho
Canyon County,207478,Idaho
Caribou County,6770,Idaho
Cassia County,23506,Idaho
Clark County,880,Idaho
Clearwater County,8496,Idaho
Custer County,4087,Idaho
Elmore County,25876,Idaho
Franklin County,13074,Idaho
Fremont County,12819,Idaho
Gem County,16852,Idaho
Gooding County,15284,Idaho
Idaho County,16272,Idaho
Jefferson County,27157,Idaho
Jerome County,22814,Idaho
Kootenai County,150346,Idaho
Latah County,38778,Idaho
Lemhi County,7735,Idaho
Lewis County,3789,Idaho
Lincoln County,5297,Idaho
Madison County,38273,Idaho
Minidoka County,20461,Idaho
Nez Perce County,40048,Idaho
Oneida County,4281,Idaho
Owyhee County,11310,Idaho
Payette County,22896,Idaho
Power County,7648,Idaho
Shoshone County,12432,Idaho
Teton County,10564,Idaho
Twin Falls County,82375,Idaho
Valley County,10103,Idaho
Washington County,9984,Idaho
Adams County,67013,Illinois
Alexander County,6780,Illinois
Bond County,16950,Illinois
Boone County,53585,Illinois
Brown County,6829,Illinois
Bureau County,33587,Illinois
Calhoun County,4899,Illinois
Carroll County,14616,Illinois
Cass County,12847,Illinois
Champaign County,208861,Illinois
Christian County,33642,Illinois
Clark County,15979,Illinois
Clay County,13428,Illinois
Clinton County,37786,Illinois
Coles County,52521,Illinois
Cook County,5238216,Illinois
Crawford County,19414,Illinois
Cumberland County,10898,Illinois
DeKalb County,104352,Illinois
De Witt County,16247,Illinois
Douglas County,19823,Illinois
DuPage County,933736,Illinois
Edgar County,17664,Illinois
Edwards County,6534,Illinois
Effingham County,34371,Illinois
Fayette County,22043,Illinois
Ford County,13736,Illinois
Franklin County,39485,Illinois
Fulton County,35699,Illinois
Gallatin County,5265,Illinois
Greene County,13241,Illinois
Grundy County,50541,Illinois
Hamilton County,8200,Illinois
Hancock County,18543,Illinois
Hardin County,4135,Illinois
Henderson County,6995,Illinois
Henry County,49489,Illinois
Iroquois County,28672,Illinois
Jackson County,59362,Illinois
Jasper County,9607,Illinois
Jefferson County,38353,Illinois
Jersey County,22372,Illinois
Jo Daviess County,22086,Illinois
Johnson County,12762,Illinois
Kane County,530847,Illinois
Kankakee County,110879,Illinois
Kendall County,123355,Illinois
Knox County,51441,Illinois
Lake County,703910,Illinois
LaSalle County,111333,Illinois
Lawrence County,16491,Illinois
Lee County,34584,Illinois
Livingston County,36671,Illinois
Logan County,29494,Illinois
McDonough County,31333,Illinois
McHenry County,307343,Illinois
McLean County,173166,Illinois
Macon County,107303,Illinois
Macoupin County,46045,Illinois
Madison County,266209,Illinois
Marion County,38339,Illinois
Marshall County,11982,Illinois
Mason County,13701,Illinois
Massac County,14766,Illinois
Menard County,12444,Illinois
Mercer County,15858,Illinois
Monroe County,33879,Illinois
Montgomery County,28898,Illinois
Morgan County,34828,Illinois
Moultrie County,14931,Illinois
Ogle County,51659,Illinois
Peoria County,186221,Illinois
Perry County,21543,Illinois
Piatt County,16387,Illinois
Pike County,15989,Illinois
Pope County,4226,Illinois
Pulaski County,5678,Illinois
Putnam County,5644,Illinois
Randolph County,32852,Illinois
Richland County,16029,Illinois
Rock Island County,146133,Illinois
St. Clair County,264052,Illinois
Saline County,24548,Illinois
Sangamon County,198712,Illinois
Schuyler County,7032,Illinois
Scott County,5092,Illinois
Shelby County,21775,Illinois
Stark County,5788,Illinois
Stephenson County,45749,Illinois
Tazewell County,134800,Illinois
Union County,17408,Illinois
Vermilion County,79282,Illinois
Wabash County,11542,Illinois
Warren County,17527,Illinois
Washington County,14270,Illinois
Wayne County,16423,Illinois
White County,14327,Illinois
Whiteside County,57079,Illinois
Will County,687263,Illinois
Williamson County,67466,Illinois
Winnebago County,287078,Illinois
Woodford County,39227,Illinois
Adams County,34980,Indiana
Allen County,368450,Indiana
Bartholomew County,81162,Indiana
Benton County,8681,Indiana
Blackford County,12298,Indiana
Boone County,63344,Indiana
Brown County,14977,Indiana
Carroll County,19856,Indiana
Cass County,37979,Indiana
Clark County,115371,Indiana
Clay County,26503,Indiana
Clinton County,32609,Indiana
Crawford County,10483,Indiana
Daviess County,32906,Indiana
Dearborn County,49455,Indiana
Decatur County,26521,Indiana
DeKalb County,42589,Indiana
Delaware County,116852,Indiana
Dubois County,42461,Indiana
Elkhart County,203474,Indiana
Fayette County,23434,Indiana
Floyd County,76778,Indiana
Fountain County,16591,Indiana
Franklin County,22872,Indiana
Fulton County,20315,Indiana
Gibson County,33775,Indiana
Grant County,67979,Indiana
Greene County,32441,Indiana
Hamilton County,309697,Indiana
Hancock County,72520,Indiana
Harrison County,39578,Indiana
Hendricks County,158192,Indiana
Henry County,48985,Indiana
Howard County,82556,Indiana
Huntington County,36630,Indiana
Jackson County,44069,Indiana
Jasper County,33470,Indiana
Jay County,21121,Indiana
Jefferson County,32416,Indiana
Jennings County,27897,Indiana
Johnson County,149633,Indiana
Knox County,37927,Indiana
Kosciusko County,78620,Indiana
LaGrange County,38809,Indiana
Lake County,487865,Indiana
LaPorte County,110884,Indiana
Lawrence County,45495,Indiana
Madison County,129723,Indiana
Marion County,939020,Indiana
Marshall County,46857,Indiana
Martin County,10226,Indiana
Miami County,35862,Indiana
Monroe County,144705,Indiana
Montgomery County,38227,Indiana
Morgan County,69648,Indiana
Newton County,14008,Indiana
Noble County,47733,Indiana
Ohio County,5938,Indiana
Orange County,19605,Indiana
Owen County,20872,Indiana
Parke County,16901,Indiana
Perry County,19347,Indiana
Pike County,12594,Indiana
Porter County,167688,Indiana
Posey County,25512,Indiana
Pulaski County,12889,Indiana
Putnam County,37585,Indiana
Randolph County,25172,Indiana
Ripley County,28701,Indiana
Rush County,16672,Indiana
St. Joseph County,268441,Indiana
Scott County,23744,Indiana
Shelby County,44478,Indiana
Spencer County,20715,Indiana
Starke County,22958,Indiana
Steuben County,34372,Indiana
Sullivan County,20928,Indiana
Switzerland County,10524,Indiana
Tippecanoe County,185826,Indiana
Tipton County,15267,Indiana
Union County,7182,Indiana
Vanderburgh County,181877,Indiana
Vermillion County,15692,Indiana
